This file is reserved for keeping a catalog that matches image # with type of unit

> to categorize format: tile activity, tile color, tile type, unit activity, unit color, unit type. 
> Activity: active, inactive, NONE (tile only)
> color: red, blue, NONE (tile only)
> unit types: infantry, tank, recon, antiair, fighter, attackheli
> tile types: grass, road, factory, water, mountain, city, forest

000 = grass
001 = road
002 = factory
003 = water
004 = mountain
005 = city
006 = forest
007 = red city
008 = active red factory
009 = inactive red factory
010 = blue city
011 = active blue factory
012 = inactive blue factory
090 = mountain inactive red attackheli
091 = mountain active blue infantry
092 = mountain inactive blue infantry
093 = mountain active blue fighter
094 = mountain inactive blue fighter
095 = mountain active blue attackheli
096 = mountain inactive blue attackheli
097 = city active red infantry
098 = city inactive red infantry
099 = city active red tank
100 = city inactive red tank
101 = city active red recon
102 = city inactive red recon
103 = city active red antiair
104 = city inactive red antiair
105 = city active red fighter
106 = city inactive red fighter
107 = city active red attackheli
108 = city inactive red attackheli
109 = city active blue infantry
110 = city inactive blue infantry
111 = city active blue tank
112 = city inactive blue tank
113 = city active blue recon
114 = city inactive blue recon
115 = city active blue antiair
116 = city inactive blue antiair
117 = city active blue fighter
118 = city inactive blue fighter
119 = city active blue attackheli
120 = city inactive blue attackheli
121 = forest active red infantry
122 = forest inactive red infantry
123 = forest active red tank
124 = forest inactive red tank
125 = forest active red recon
126 = forest inactive red recon
127 = forest active red antiair
128 = forest inactive red antiair
129 = forest active red fighter
130 = forest inactive red fighter
131 = forest active red attackheli
132 = forest inactive red attackheli
133 = forest active blue infantry
134 = forest inactive blue infantry
135 = forest active blue tank
136 = forest inactive blue tank
137 = forest active blue recon
138 = forest inactive blue recon
139 = forest active blue antiair
140 = forest inactive blue antiair
141 = forest active blue fighter
142 = forest inactive blue fighter
143 = forest active blue attackheli
144 = forest inactive blue attackheli
145 = red city active red infantry 
146 = red city inactive red infantry
147 = red city active red tank
148 = red city inactive red tank
149 = red city active red recon
150 = red city inactive red recon
151 = red city active red antiair
152 = red city inactive red antiair
153 = red city active red fighter
154 = red city inactive red fighter
155 = red city active red attackheli
156 = red city inactive red attackheli
157 = red city active blue infantry
158 = red city inactive blue infantry
159 = red city active blue tank
160 = red city inactive blue tank
161 = red city active blue recon
162 = red city inactive blue recon
163 = red city active blue antiair
164 = red city inactive blue antiair
165 = red city active blue fighter
166 = red city inactive blue fighter
167 = red city active blue attackheli
168 = red city inactive blue attackheli
169 = active red factory active red infantry
170 = active red factory inactive red infantry
171 = active red factory active red tank
172 = active red factory inactive red tank
173 = active red factory active red recon
174 = active red factory inactive red recon
175 = active red factory active red antiair
176 = active red factory inactive red antiair
177 = active red factory active red fighter
178 = active red factory inactive red fighter
179 = active red factory active red attackheli
180 = active red factory inactive red attackheli
181 = active red factory active blue infantry
182 = active red factory inactive blue infantry
183 = active red factory active blue tank
184 = active red factory inactive blue tank
185 = active red factory active blue recon
186 = active red factory inactive blue recon
187 = active red factory active blue antiair
188 = active red factory inactive blue antiair
189 = active red factory active blue fighter
190 = active red factory inactive blue fighter
191 = active red factory active blue attackheli
192 = active red factory inactive blue attackheli
193 = inactive red factory active red infantry
194 = inactive red factory inactive red infantry
195 = inactive red factory active red tank
196 = inactive red factory inactive red tank
197 = inactive red factory active red recon
198 = inactive red factory inactive red recon
199 = inactive red factory active red antiair
200 = inactive red factory inactive red antiair
201 = inactive red factory active red fighter
202 = inactive red factory inactive red fighter
203 = inactive red factory active red attackheli
204 = inactive red factory inactive red attackheli
205 = inactive red factory active blue infantry
206 = inactive red factory inactive blue infantry
207 = inactive red factory active blue tank
208 = inactive red factory inactive blue tank
209 = inactive red factory active blue recon
210 = inactive red factory inactive blue recon
211 = inactive red factory active blue antiair
212 = inactive red factory inactive blue antiair
213 = inactive red factory active blue fighter
214 = inactive red factory inactive blue fighter
215 = inactive red factory active blue attackheli
216 = inactive red factory inactive blue attackheli
217 = blue city active red infantry
218 = blue city inactive red infantry
219 = blue city active red tank
220 = blue city inactive red tank
221 = blue city active red recon
222 = blue city inactive red recon
223 = blue city active red antiair
224 = blue city inactive red antiair
225 = blue city active red fighter
226 = blue city inactive red fighter
227 = blue city active red attackheli
228 = blue city inactive red attackheli
229 = blue city active blue infantry
230 = blue city inactive blue infantry
231 = blue city active blue tank
232 = blue city inactive blue tank
233 = blue city active blue recon
234 = blue city inactive blue recon
235 = blue city active blue antiair
236 = blue city inactive blue antiair
237 = blue city active blue fighter
238 = blue city inactive blue fighter
239 = blue city active blue attackheli
240 = blue city inactive blue attackheli
241 = active blue factory active red infantry 
242 = active blue factory inactive red infantry
243 = active blue factory active red tank
244 = active blue factory inactive red tank
245 = active blue factory active red recon
246 = active blue factory inactive red recon
247 = active blue factory active red antiair
248 = active blue factory inactive red antiair
249 = active blue factory active red fighter
250 = active blue factory inactive red fighter
251 = active blue factory active red attackheli
252 = active blue factory inactive red attackheli
253 = active blue factory active blue infantry
254 = active blue factory inactive blue infantry
255 = active blue factory active blue tank
256 = active blue factory inactive blue tank
257 = active blue factory active blue recon
258 = active blue factory inactive blue recon
259 = active blue factory active blue antiair
260 = active blue factory inactive blue antiair
261 = active blue factory active blue fighter
262 = active blue factory inactive blue fighter
263 = active blue factory active blue attackheli
264 = active blue factory inactive blue attackheli
265 = inactive blue factory active red infantry
266 = inactive blue factory inactive red infantry
267 = inactive blue factory active red tank
268 = inactive blue factory inactive red tank
269 = inactive blue factory active red recon
270 = inactive blue factory inactive red recon
271 = inactive blue factory active red antiair
272 = inactive blue factory inactive red antiair
273 = inactive blue factory active red fighter
274 = inactive blue factory inactive red fighter
275 = inactive blue factory active red attackheli
276 = inactive blue factory inactive red attackheli
277 = inactive blue factory active blue infantry
278 = inactive blue factory inactive blue infantry
279 = inactive blue factory active blue tank
280 = inactive blue factory inactive blue tank
281 = inactive blue factory active blue recon
282 = inactive blue factory inactive blue recon
283 = inactive blue factory active blue antiair
284 = inactive blue factory inactive blue antiair
285 = inactive blue factory active blue fighter
286 = inactive blue factory inactive blue fighter
287 = inactive blue factory active blue attackheli
288 = inactive blue factory inactive blue attackheli
289 =
290 =
291 =
292 =
293 =
294 =
295 =
296 =
297 =
298 =
299 =
300 =
301 =
302 =
303 =
304 =
305 =
306 =
307 =
308 =
309 =
310 =
311 =
312 =
313 =
314 =
315 =
316 =
317 =
318 =
319 =
320 =
321 =
322 =
323 =
324 =
325 =
326 =
327 =
328 =
329 =
330 =
331 =
332 =
333 =
334 =
335 =
336 =
337 =
338 =
339 =
340 =
341 =
342 =
343 =
344 =
345 =
346 =
347 =
348 =
349 =
350 =
351 =
352 =
353 =
354 =
355 =
356 =
357 =
358 =
359 =
360 =
361 =
362 =
363 =
364 =
365 =
366 =
367 =
368 =
369 =
370 =
371 =
372 =
373 =
374 =
375 =
376 =
377 =
378 =
379 =
380 =
381 =
382 =
383 =
384 =
385 =
386 =
387 =
388 =
389 =
390 =
391 =
392 =
393 =
394 =
395 =
396 =
397 =
398 =
399 =
400 =
401 =
402 =
403 =
404 =
405 =
406 =
407 =
408 =
409 =
410 =
411 =
412 =
413 =
414 =
415 =
416 =
417 =
418 =
419 =
420 =
421 =
422 =
423 =
424 =
425 =
426 =
427 =
428 =
429 =
430 =
431 =
432 =
433 =
434 =
435 =
436 =
437 =
438 =
439 =
440 =
441 =
442 =
443 =
444 =
445 =
446 =
447 =
448 =
449 =
450 =
451 =
452 =
453 =
454 =
455 =
456 =
457 =
458 =
459 =
460 =
461 =
462 =
463 =
464 =
465 =
466 =
467 =
468 =
469 =
470 =
471 =
472 =
473 =
474 =
475 =
476 =
477 =
478 =
479 =
480 =
481 =
482 =
483 =
484 =
485 =
486 =
487 =
488 =
489 =
490 =
491 =
492 =
493 =
494 =
495 =
496 =
497 =
498 =
499 =
